,AC-like,Endothelial,MES-like,Mono,Mural cell,NPC-like,OPC-like,TAM-BDM,TAM-MG
Spotx1,0,0,1,0,1,0,0,0,0
Spotx2,1,1,0,0,1,0,1,0,0
Spotx3,1,0,1,1,0,0,0,0,0
Spotx4,1,0,1,0,1,1,0,0,1
Spotx5,0,0,0,0,0,1,0,1,1
Spotx6,0,0,1,0,0,1,0,1,0
Spotx7,0,1,0,1,1,1,1,1,1
Spotx8,0,0,0,0,1,0,0,1,1
Spotx9,0,1,1,1,1,1,0,0,1
Spotx10,0,1,0,0,0,0,1,1,0
Spotx11,0,0,0,0,0,0,1,0,1
Spotx12,1,0,1,0,0,0,0,0,1
Spotx13,0,0,0,1,0,0,1,1,0
Spotx14,1,0,0,1,1,1,1,0,0
Spotx15,1,1,0,1,0,0,1,0,0
Spotx16,0,1,0,0,0,1,0,1,1
Spotx17,0,0,1,0,0,0,0,0,0
Spotx18,1,1,1,1,0,1,1,0,1
Spotx19,1,1,1,1,0,1,1,0,0
Spotx20,0,0,0,0,0,0,0,1,0
Spotx21,0,1,0,0,0,0,0,0,0
Spotx22,1,1,0,0,1,1,0,0,1
Spotx23,0,1,0,1,0,0,0,0,0
Spotx24,1,1,0,0,0,0,1,1,0
Spotx25,0,0,0,0,0,0,1,0,1
Spotx26,1,1,0,0,1,1,0,0,1
Spotx27,1,0,0,0,0,0,0,0,1
Spotx28,0,0,1,0,0,0,0,1,1
Spotx29,0,1,1,0,0,1,0,0,0
Spotx30,0,1,1,1,1,1,0,0,1
Spotx31,0,0,0,0,0,0,0,1,1
Spotx32,1,0,1,1,1,0,0,0,0
Spotx33,0,1,0,1,1,0,1,0,1
Spotx34,0,0,0,0,1,0,0,1,0
Spotx35,0,0,1,0,0,0,1,0,1
Spotx36,1,1,1,0,1,1,1,0,0
Spotx37,0,1,1,1,0,0,0,1,1
Spotx38,1,1,1,0,1,1,0,1,1
Spotx39,1,1,1,1,1,1,1,1,0
Spotx40,1,1,1,0,0,0,0,1,0
Spotx41,1,1,0,0,0,0,0,0,0
Spotx42,1,1,1,0,1,1,0,0,1
Spotx43,1,1,1,1,1,0,1,1,1
Spotx44,1,0,0,0,1,0,0,1,0
Spotx45,1,0,0,1,0,0,1,1,0
Spotx46,0,0,1,0,0,0,1,1,1
Spotx47,1,0,0,1,0,0,1,1,0
Spotx48,1,0,0,1,0,1,0,0,0
Spotx49,1,0,1,1,0,0,0,0,0
Spotx50,1,0,0,0,0,0,1,0,1
Spotx51,0,0,0,0,0,0,1,1,0
Spotx52,0,0,1,0,0,0,0,0,0
Spotx53,1,0,1,1,1,0,1,1,1
Spotx54,0,0,1,0,0,1,0,0,1
